2,17,,,,,,,,,,,,,,,
Gene name,P35998,P35972,P35975,P10876,P36001,P36007,P35930,P35937,P10865,P35987,P35963,P35982,P10880,P36016,P35955,P35990
Ace,0.470623818,1.123381558,0.374630895,1.384371224,1.145377376,0.755420734,0.640876103,0.817784078,1.463449225,1.081408192,1.574175386,0.822071637,2.711592328,0.646449602,1.377103813,45.21352615
Rac2,9.726225575,6.17859857,3.996062879,6.829564706,5.286357119,5.382372729,6.836011768,6.269677929,5.587715222,6.380308335,5.327978231,8.426234279,4.56040528,7.757395222,8.44623672,22.10685923
Cfp,24.00181473,13.76142409,14.86035883,19.84265421,17.26876659,16.24154578,25.8486695,13.35713994,23.68126927,14.49086978,23.12826914,27.95043566,16.76257076,15.94575684,36.72276835,72.20833415
Dysf,10.82434782,12.35719714,8.366756653,7.66018744,10.66082019,9.253903991,10.04039228,10.9037877,12.90496135,8.434983901,10.1715948,12.12555665,8.627793772,10.55867683,14.87272118,29.66096187
Vsir,2.980617515,2.106340422,2.497539299,1.938119714,2.2026488,1.794124243,3.631631252,2.317054887,1.197367548,3.568647035,2.542898701,3.288286548,0.862779377,3.66321441,6.518291381,13.10858989
Mcm5,1.725620667,2.94887659,2.747293229,1.753536884,2.555072608,1.60526906,2.456691729,3.543731004,2.527775934,2.703520481,1.574175386,5.137947731,3.327863312,6.033529617,3.21324223,6.887564181
Carmil3,2.039369879,1.685072337,9.740403268,5.722067726,5.638780927,8.026345298,8.224576659,1.499270809,8.514613671,2.8116613,4.601435745,8.631752188,13.92772423,21.11735366,27.17484858,29.88314136
Nckap1l,15.37371139,8.284938992,8.491633618,8.21393593,7.665217823,7.082069381,8.651827394,7.3600567,9.978062896,12.43619421,8.718509832,14.38625365,5.546438853,12.28254243,13.67923121,37.6594235
Ddr1,2.353119091,3.089299285,2.372662334,3.414782353,3.08370832,2.549544977,3.204380516,3.134838965,5.188592706,6.596589974,2.300717872,4.932429822,3.697625902,8.403844824,4.957573727,12.55314117
Ttc3,14.74621297,11.93592906,10.36478809,15.68954054,12.24672733,12.37001452,13.13796012,15.67419482,18.89179908,18.16765763,13.80430723,24.86766702,19.96717987,26.07346727,16.34163191,30.66076958
Tlr7,1.411871454,1.965917727,0.874138755,0.646039905,0.44052976,0.56656555,1.495377574,0.954081424,1.064326709,1.297689831,0.968723315,2.466214911,0.246508393,1.077416003,1.285296892,12.44205142
Arpc1b,74.98606169,79.76009063,80.79539634,90.8147523,73.39225801,66.38259699,78.50732265,64.60494214,99.51454728,73.96832036,65.99427581,78.91887715,92.56390175,91.14939386,80.69828344,155.858912
Sema7a,1.725620667,1.404226948,0.624384825,0.55374849,1.233483328,1.416413876,1.38856489,0.408892039,0.532163354,0.216281638,1.089813729,1.027589546,0.246508393,1.939348805,1.744331496,8.665000098
Ptprm,3.451241333,4.633948928,4.745324669,4.245405087,2.995602368,2.17183461,3.204380516,5.451893852,1.330408386,4.866336866,2.906169944,6.371055186,2.958100722,9.265777626,6.610098302,12.77532066
Rgs19,2.353119091,1.544649643,1.123892685,1.292079809,1.850224992,1.038703509,1.709002942,1.226676117,2.394735095,2.270957204,2.058537044,2.055179092,1.972067148,1.939348805,2.019752259,6.221025712
Gpsm2,23.2174417,25.13566237,18.10715992,12.73621526,25.11019632,13.6920008,20.29440994,21.53498071,11.97367548,19.57348828,17.43701966,62.68296232,31.79958276,31.02958089,49.11670266,62.09916737
Il10ra,2.823742909,2.106340422,1.873154475,1.661245469,1.674013088,2.643972569,3.524818568,2.725946926,3.592102643,2.487238843,1.816356215,5.34346564,1.109287771,2.370315207,3.21324223,14.21948734
Sdc3,17.72683048,9.40832055,7.617494863,5.998941971,5.462569023,5.94893828,9.07907813,9.404516894,5.72075606,16.11298207,7.749786518,20.96282674,5.423184657,17.66962245,19.00403262,37.88160299
Lair1,2.823742909,2.94887659,0.74926179,1.568954054,1.145377376,2.266262202,3.418005884,2.044460194,3.592102643,3.352365397,2.058537044,4.726911913,1.725558754,1.077416003,3.672276835,18.88525662
Col3a1,53.49424066,54.06273749,36.58895074,96.90598569,60.61689497,27.38400161,54.79490683,47.84036855,61.19878576,80.88933279,46.74089993,70.28712496,93.30342694,97.39840667,83.81971875,150.637694
Cfl1,181.5039192,172.1582238,174.4531201,177.5686823,185.286817,196.2205356,175.0659889,195.0415025,184.5276432,173.6741557,179.8192653,175.9233303,199.4252903,222.5941462,192.2436923,248.9521182
Tspan13,2.039369879,1.544649643,1.99803144,2.399576788,1.32158928,1.699696651,3.3111932,1.362973463,0.798245032,1.40583065,1.816356215,2.466214911,0.862779377,3.232248009,2.295173022,9.553718057
Ucp2,34.04178951,21.06340422,19.85543743,19.93494563,22.46701776,30.12240177,34.18005884,25.8964958,18.75875824,27.46776809,34.38967767,35.96563412,25.14385614,22.41025286,34.61120917,95.20391134
Arhgef2,7.843730302,6.599866655,5.619463424,5.906650556,9.427336863,7.365352156,9.719954233,7.768948739,10.77630793,15.35599633,14.40975931,9.659341734,9.86033574,20.03993766,12.85296892,33.21583371
Pcif1,17.56995588,19.37833188,14.6106049,12.82850668,14.53748208,16.33597337,16.76959137,15.53789748,19.42396244,20.33047402,14.53084972,20.96282674,21.69273863,23.91863527,19.00403262,28.21679519
Cd44,1.254996848,1.123381558,1.123892685,0.922914149,2.114542848,0.849848326,0.854501471,1.499270809,0.798245032,0.540704096,0.726542486,1.027589546,1.355796164,2.154832006,0.918069209,5.554487243
Mef2d,19.92307497,23.87185811,21.47883797,20.3964027,26.16746774,20.67964259,17.94453089,23.71573825,24.21343263,22.60143122,21.67518417,26.51181029,21.69273863,31.46054729,24.97148248,37.77051325
Nfkb1,27.29618145,20.64213613,19.6056835,23.07285374,21.14542848,17.65795966,18.47859431,26.71427987,24.74559598,25.52123334,19.85882795,33.49941921,37.09951322,28.22829928,27.45026934,40.54775687
Trpm2,5.647485818,6.740289349,4.245816809,1.753536884,2.907496416,3.399393303,6.515573717,5.043001813,3.725143481,6.596589974,8.234148175,7.193126823,1.972067148,8.403844824,6.701905223,29.32769264
Cyth4,4.235614363,5.195639707,3.746308949,3.414782353,2.2026488,1.982979427,4.913383458,4.361515081,10.64326709,6.272167516,5.085797402,8.631752188,6.655726624,3.66321441,7.344553669,22.5512182
Eps15l1,13.96183994,12.49761984,10.11503416,12.64392385,13.92074041,14.63627672,16.34234063,14.85641075,15.29969644,14.92343306,14.40975931,15.00280737,19.22765469,17.88510565,17.99415649,22.44012846
Sh2b3,7.52998109,4.774371622,4.620447704,6.091233386,4.140979743,6.232221055,6.195135665,5.724488544,8.780695349,7.245434889,7.386515275,9.248305916,8.011522788,9.912227228,8.170815957,12.77532066
Ctss,118.9109514,57.57330486,74.05204023,45.86883323,60.26447116,80.92444612,109.803439,64.60494214,25.67688185,86.08009212,85.61092294,118.5838336,28.10195686,76.71201942,98.41701917,569.8903911
Vsig4,39.53240072,15.02522834,25.10026996,12.92079809,13.92074041,24.64560144,29.69392612,22.48906214,11.04238961,23.68283941,28.09297613,47.88567285,8.504539575,29.09023208,39.20155521,107.8681422
Plk2,48.78800248,60.10091337,46.82886186,52.97527218,34.71374508,29.65026381,45.7158287,57.65377748,48.95902861,67.47987121,59.81866468,94.33272034,59.90153962,103.0009699,111.1781812,122.8652578
Eng,51.29799618,51.39470629,49.82590902,34.6092806,50.39660454,41.54814037,46.46351749,52.47447832,21.81869753,57.96347912,36.93257637,63.29951605,40.67388493,67.66172499,68.30434912,106.4239756
Pla2g7,23.3743163,10.11043402,8.616510583,9.598307154,8.458171391,10.48146268,20.61484799,14.17492401,3.725143481,15.89670043,13.19885516,13.3586641,5.29993046,17.02317285,14.78091426,138.9732708
Plekho1,11.29497164,14.18269217,8.741387548,9.229141494,7.753323775,7.176496972,9.399516181,9.813408933,13.17104302,11.03036356,10.1715948,11.71452083,9.120810559,18.31607205,11.20044435,28.66115417
Adgre5,31.68867042,24.71439428,21.47883797,20.30411129,20.79300467,15.39169745,25.74185681,18.2638444,15.96490063,23.46655778,19.37446629,36.78770575,18.9811463,24.13411847,33.14229843,55.10051345
Vat1,54.5923629,54.90527366,46.57910793,71.52584658,48.01774383,47.11936828,46.14307944,63.51456337,60.93270409,65.31705482,51.22124526,78.09680551,78.63617752,84.03844824,63.25496848,97.64788572
Spi1,10.82434782,5.616907791,2.997047159,6.644981876,3.964767839,4.626951995,6.942824452,6.269677929,8.913736187,10.16523701,7.991967346,9.042788007,5.546438853,6.895462419,11.10863742,30.32750034
Klhl22,18.0405797,18.67621841,14.9852358,13.75142083,16.47581302,13.12543525,13.13796012,15.94678952,18.09355405,23.46655778,15.37848262,21.57938047,17.00907915,20.03993766,21.20739872,32.77147473
Cd86,0.313749212,0.982958863,0.874138755,0.461457075,0.528635712,0.283282775,0.320438052,0.136297346,0.133040839,0.540704096,0.121090414,0.822071637,0.246508393,0.430966401,0.734455367,3.332692346
Cotl1,13.33434151,9.970011329,9.615526303,7.752478855,7.841429727,6.893214197,10.89489376,10.35859832,6.918123608,12.65247585,10.89813729,12.33107455,5.916201444,9.481260827,15.51536963,40.21448764
Cplane1,2.196244485,2.527608506,2.622416264,2.307285374,1.674013088,2.077407018,2.136253678,1.226676117,1.463449225,3.893069493,2.663989115,1.849661183,3.574371706,2.154832006,2.203366101,11.8866027
Lrmp,1.411871454,0.982958863,1.24876965,1.107496979,0.792953568,1.133131101,1.38856489,1.226676117,0.798245032,1.40583065,1.937446629,1.027589546,1.232541967,0.646449602,2.295173022,7.887371884
Ighm,13.33434151,8.706207076,5.369709494,3.414782353,4.845827359,15.48612505,1.92262831,19.08162848,6.652041931,5.515181781,12.23013185,18.08557601,5.546438853,6.249012818,19.09583954,61.21044941
Shtn1,11.60872085,15.72734182,9.365772373,9.506015739,9.955972575,13.31429044,10.68126839,8.314138124,12.23975715,15.03157387,10.65595646,15.00280737,11.95565708,17.45413925,10.5577959,28.88333366
Kif26a,1.882495273,1.825495032,0.24975393,0.73833132,1.32158928,1.510841468,1.174939523,0.817784078,1.064326709,3.244224577,2.058537044,1.644143274,1.355796164,1.939348805,3.029628389,7.55410265
Adnp2,18.98182733,19.09748649,16.23400545,9.044558664,17.26876659,22.47376683,15.70146453,17.71865502,15.03361476,20.00605156,19.85882795,25.48422075,19.22765469,20.47090406,22.76811637,35.32653886
Nfatc4,0.941247636,2.527608506,1.74827751,1.107496979,1.674013088,1.321986284,1.495377574,1.362973463,1.596490063,3.676787854,1.816356215,1.849661183,2.588338132,5.387080015,1.927945338,7.77628214
Mmp11,0.627498424,0.421268084,0.624384825,0.092291415,0.352423808,0.188855183,0.213625368,0.136297346,0.266081677,0.216281638,0.726542486,0.411035818,0.616270984,0.430966401,1.285296892,1.888525662
Treh,1.725620667,2.246763116,0.24975393,1.107496979,3.171814272,2.927255344,2.136253678,1.09037877,0.93128587,1.297689831,1.089813729,2.055179092,13.55796164,1.292899204,1.468910734,20.10724382
Btk,4.078739757,2.668031201,3.496555019,2.399576788,1.585907136,2.738400161,4.272507355,2.725946926,3.192980127,3.244224577,3.027260358,4.932429822,1.602304558,3.016764808,4.039504518,12.99750015
Tspan15,3.451241333,2.808453896,2.497539299,1.938119714,2.114542848,3.210538119,5.340634194,2.044460194,1.995612579,3.893069493,4.117074087,3.288286548,3.327863312,3.232248009,4.314925281,11.8866027
Dync2h1,6.74560806,5.055217012,4.620447704,3.137908108,3.876661888,3.965958853,3.84525662,6.678569968,2.660816772,21.95258631,2.663989115,17.67454019,5.66969305,7.11094562,10.19056822,44.54698768
Mrtfa,7.686855696,6.319021265,4.495570739,5.906650556,7.577111871,3.77710367,4.699758091,7.3600567,7.71636864,5.73146342,6.902153617,11.30348501,10.35335253,13.57544164,8.44623672,13.88621811
Mis18bp1,0.627498424,0.702113474,0.374630895,0.18458283,0.44052976,0.755420734,0.961314155,1.362973463,0.399122516,0.973267373,0.968723315,2.055179092,0.493016787,0.430966401,1.10168305,4.332500049
Tmem173,4.078739757,1.263804253,1.74827751,1.015205564,2.64317856,2.266262202,3.738443936,2.453352233,4.124265997,2.487238843,2.78507953,2.466214911,3.327863312,1.939348805,3.488662993,15.1082053
Arfgap3,12.23621927,9.548743245,5.744340389,8.58310159,14.36127017,10.48146268,6.6223864,12.67565321,12.10671631,13.30132077,12.83558392,16.23591483,14.42074102,14.86834084,10.5577959,26.10609004
Itgax,2.509993697,2.668031201,2.997047159,3.137908108,1.76211904,2.927255344,2.456691729,1.635568155,5.72075606,5.623322601,5.085797402,2.260697002,3.574371706,3.878697611,4.039504518,23.21775667
Cerk,4.392488969,4.914794317,2.122908404,5.814359141,3.348026176,3.210538119,1.815815626,3.271136311,6.785082769,5.407040962,3.148350773,6.576573096,8.381285379,3.44773121,4.314925281,14.88602581
Hcls1,15.530586,14.04226948,8.616510583,9.044558664,9.515442815,10.38703509,13.99246159,12.9482479,10.64326709,14.81529224,16.58938676,19.31868347,6.532472427,20.03993766,15.23994886,39.65903891
Arhgef6,1.56874606,1.123381558,0.874138755,1.661245469,0.616741664,0.755420734,0.854501471,2.317054887,1.463449225,2.162816385,1.331994558,0.822071637,2.095321345,3.44773121,1.927945338,5.554487243
Cd53,5.176862,3.370144675,3.746308949,2.953325278,2.290754752,2.832827752,4.699758091,2.862244272,2.261694256,5.515181781,3.390531601,5.960019368,1.972067148,3.66321441,3.396856072,19.55179509
